data_source,ticker,date_kst,open,high,low,close,volume,loaded_date_kst
source1,061970,2025-04-14,3085,3265,3065,3250,131077,2025-04-14
source1,067280,2025-04-18,34500,35800,33600,35450,26458,2025-04-18
source1,078590,2025-04-22,621,625,605,614,245988,2025-04-22
source1,083660,2025-04-17,920,1010,870,979,988076,2025-04-17
source1,098070,2025-04-16,44200,46100,41350,42700,1931961,2025-04-16
source1,100660,2025-04-16,3500,3520,3455,3465,20277,2025-04-16
source1,001630,2025-04-21,45450,45500,44950,45450,2942,2025-04-21
source1,001840,2025-04-16,1616,1616,1616,1616,0,2025-04-16
source1,002290,2025-04-17,3590,3645,3537,3615,135100,2025-04-17
source1,002900,2025-04-21,4490,4530,4395,4435,73374,2025-04-22
source1,004560,2025-04-15,13230,13630,12500,12700,439139,2025-04-15
source1,004710,2025-04-21,4150,4225,4125,4210,68132,2025-04-21
source1,042940,2025-04-21,34050,38800,28250,28500,7411567,2025-04-21
source1,059090,2025-04-17,9200,9510,9150,9490,93248,2025-04-18
source1,079190,2025-04-17,489,490,479,480,23283,2025-04-17
source1,083470,2025-04-21,1222,1267,1210,1255,36112,2025-04-21
source1,000250,2025-04-17,147600,153100,145100,152800,195274,2025-04-18
source1,001770,2025-04-14,14980,15020,14980,15010,1311,2025-04-14
source1,158430,2025-04-16,5820,5900,5700,5750,466863,2025-04-16
source1,185490,2025-04-15,3785,3950,3785,3835,131055,2025-04-15
source1,215600,2025-04-17,2290,2360,2240,2340,422630,2025-04-18
source1,260970,2025-04-15,69900,83800,69900,83500,147573,2025-04-15
source1,282000,2025-04-17,109660,109715,109660,109715,4,2025-04-17
source1,288330,2025-04-21,1515,1626,1515,1515,49610489,2025-04-21
source1,377300,2025-04-16,28500,29100,28400,28600,118758,2025-04-17
source1,404650,2025-04-15,9290,9320,9285,9320,77,2025-04-15
source1,446720,2025-04-22,10500,10500,10405,10435,574064,2025-04-22
source1,002020,2025-04-22,21950,25450,21550,25000,377237,2025-04-22
source1,004770,2025-04-18,2290,2495,2245,2360,8696535,2025-04-18
source1,005420,2025-04-21,14700,15070,14460,14610,100942,2025-04-22
source1,039290,2025-04-21,6820,6950,6740,6830,35192,2025-04-21
source1,289930,2025-04-14,8100,8260,7850,8020,94096,2025-04-14
source1,381170,2025-04-17,19465,19800,19465,19800,1358825,2025-04-17
source1,383800,2025-04-16,6280,6310,6230,6280,55308,2025-04-17
source1,413220,2025-04-18,3570,3570,3535,3565,580,2025-04-18
source1,417310,2025-04-14,4820,4865,4795,4805,21495,2025-04-14
source1,230980,2025-04-14,229,229,229,229,0,2025-04-14
source1,237440,2025-04-16,9560,9590,9505,9530,8275,2025-04-16
source1,251970,2025-04-14,53800,57500,52000,52900,105578,2025-04-15
source1,261270,2025-04-18,7970,7970,7950,7955,20729,2025-04-18
source1,268280,2025-04-17,149600,149800,148600,149400,702,2025-04-17
source1,303530,2025-04-16,6790,6860,6700,6720,13406,2025-04-16
source1,314130,2025-04-18,2975,3050,2900,3035,425690,2025-04-18
source1,388050,2025-04-15,6910,7470,6800,7020,1380571,2025-04-15
source1,394670,2025-04-14,5590,5650,5480,5650,19082,2025-04-14
source1,419420,2025-04-15,5005,5095,5005,5040,1789,2025-04-15
source1,455660,2025-04-18,9745,9850,9695,9780,3677,2025-04-18
source1,476550,2025-04-18,8180,8245,8140,8215,990099,2025-04-18
source1,477470,2025-04-22,2040,2040,2035,2040,1261,2025-04-22
source1,432600,2025-04-17,55510,55510,55485,55485,6,2025-04-17
source1,475580,2025-04-14,11520,11870,11290,11810,437009,2025-04-15
source1,391710,2025-04-17,1675,1703,1645,1686,143034,2025-04-17
source1,438100,2025-04-18,12895,12965,12845,12965,49427,2025-04-18
source1,461340,2025-04-15,17945,17945,16460,16595,11305,2025-04-15
source1,475580,2025-04-21,12420,12560,12100,12100,301409,2025-04-22
source1,476800,2025-04-22,4690,4705,4665,4670,574795,2025-04-22
source1,045510,2025-04-18,847,852,786,829,109058,2025-04-18
source1,049070,2025-04-16,16300,16300,15710,15840,51511,2025-04-17
source1,053450,2025-04-17,5180,5550,5000,5280,863999,2025-04-17
source1,092440,2025-04-14,2295,2335,2275,2275,12603,2025-04-14
source1,100910,2025-04-14,5140,5215,5140,5170,6620,2025-04-14
source1,114450,2025-04-22,1587,1611,1572,1595,25944,2025-04-22
source1,187420,2025-04-17,3445,3670,3445,3630,101429,2025-04-17
source1,204450,2025-04-22,2235,2295,2205,2285,159345,2025-04-22
source1,279540,2025-04-18,10150,10190,10150,10190,6,2025-04-18
source1,289670,2025-04-22,57510,57515,57390,57410,22,2025-04-22
source1,000880,2025-04-18,43600,45500,43500,44150,465312,2025-04-21
source1,003547,2025-04-21,15370,15480,15300,15480,75550,2025-04-21
source1,005710,2025-04-17,7180,7250,7110,7250,10668,2025-04-17
source1,012330,2025-04-17,238000,241500,235000,238500,117141,2025-04-18
source1,017670,2025-04-17,57700,57900,57200,57700,404317,2025-04-18
source1,001520,2025-04-22,607,607,590,600,288393,2025-04-22
source1,001630,2025-04-14,43300,43450,43150,43300,674,2025-04-14
source1,002900,2025-04-14,4350,4380,4300,4330,56846,2025-04-15
source1,004430,2025-04-15,11270,11470,11270,11380,16844,2025-04-15
source1,004710,2025-04-14,4000,4085,3960,3965,106213,2025-04-14
source1,004890,2025-04-18,41400,41400,40800,41250,1603,2025-04-18
source1,007860,2025-04-16,7200,7250,6910,6970,126797,2025-04-16
